id;image;barcode;name;description;stock;is_stock;inventary_min;price_in;price_out;unit
;;;ADAPTADOR PARA FACIAL LIBUS ;;0;;1;;;2
;;;AFLOJATODO ROST OFF BLUE ICE X 400 - WURTH;;0;;1;;;2
;;;AFLOJATODO ROST OFF X 300ML/215G - WURTH;;55;;1;;;2
;;;AFLOJATODO X GALON  - WD 40;;0;;1;;;2
;;;AFLOJATODO ZK - 90 X 296 ML - VISTONY;;22;;1;;;2
;;;ALCOHOL ALKOFARMA  DE 70° X 1LT ;;22;;1;;;2
;;;ALCOHOL GEL ALKOFARMA   X LT;;2;;1;;;2
;;;ALCOHOL GEL FIORUCCI X 400 ML;;38;;1;;;2
;;;ALCOHOL ISOPROPILICO 53° X 1LT - DARYZA;;1;;1;;;2
;;;ALMOHABILLA ABSORBENTE - 3M ;;2;;1;;;2
;;;ALMOHABILLA ABSORBENTE BLANCO ;;3;;1;;;2
;;;AMONIO CUATERNARIO ;;1;;1;;;2
;;;ARNES DE SEGURIDAD 3 ANILLOS - 3M;;8;;1;;;2
;;;ARNES DE SEGURIDAD 3 ANILLOS - SEGPRO ;;1;;1;;;2
;;;ARNES DE SEGURIDAD 3 ANILLOS- HAUK  ;;1;;1;;;2
;;;ARNES DE SEGURIDAD 4 ANILLOS - 3M;;4;;1;;;2
;;;ARNES DE SEGURIDAD DE RESCATISTA EXOFIT ;;0;;1;;;2
;;;"ARNES DE SEGURIDAD LINIERO DE 6 ANILLOS, 
7 HEBILLAS DIELECTRICO - SAFETY VEL ";;0;;1;;;2
;;;BARBIQUEJO CON 2 PUNTOS DE ACOPLE ;;42;;1;;;2
;;;BARBIQUEJO LIBUS;;0;;1;;;2
;;;BARRA DE SEGURIDAD LUMINOSA NARANJA;;1;;1;;;2
;;;BARRA DE SEGURIDAD LUMINOSA VERDE ;;0;;1;;;2
;;;BARRA RECTRATIL DE 1.20MTS. AMARILLO;;18;;1;;;2
;;;BARRA RECTRATIL DE 1.20MTS. AMARILLO CON NEGRO ;;13;;1;;;2
;;;BARRA RECTRATIL DE 1.20MTS. BLANCO CON ROJO ;;26;;1;;;2
;;;BATA LABORATORIO BLANCO   descartable TALLA L;;4;;1;;;2
;;;BATA LABORATORIO BLANCO  TALLA L;;3;;1;;;2
;;;BATA LABORATORIO BLANCO  TALLA M;;2;;1;;;2
;;;BATA LABORATORIO BLANCO  TALLA S;;2;;1;;;2
;;;BATA LABORATORIO BLANCO  TALLA XL ;;0;;1;;;2
;;;BLOQUEADOR SOLAR DE 50+  X  110ML - NABILA ;;0;;1;;;2
;;;BLOQUEADOR SOLAR DE 50+  X  1LT -3M;;0;;1;;;2
;;;BLOQUEADOR SOLAR DERMA 360° X120G. AVON;;0;;1;;;2
;;;BLUSA AZUL ACERO TALLA L;;12;;1;;;2
;;;BLUSA AZUL ACERO TALLA M ;;6;;1;;;2
;;;BLUSA AZUL ACERO TALLA XL;;4;;1;;;2
;;;BLUSA AZUL ACERO TALLA XXXL ;;2;;1;;;2
;;;BLUSA BLANCA CUELLO V CELESTE  TALLA S;;0;;1;;;2
;;;BLUSA CELESTE CON RIBETE  NEGRO CAMISERO TALLA M;;0;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ L;;9;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ M;;1;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ S;;0;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ XL;;11;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ XXL;;0;;1;;;2
;;;BLUSA JEANS MANGA LARGA C/CINTA REFLECTIVA 9 ONZ T/ XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/M;;2;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/S;;3;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/XL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/XXL;;1;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL ITALIANO T/XXXL;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL JEAN T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL JEAN T/L;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL JEAN T/M;;0;;1;;;2
;;;BLUSA MANGA LARGA OXFORD AZUL JEAN T/S;;0;;1;;;2
